Acc0,Acc1,Acc2,Gyro0,Gyro1,Gyro2,MagnetData0,MagnetData1,MagnetData2,Timestamp,dt
-0.25,0.96875,-0.0625,18.5394287109,-15.3045654297,1.2435913086,2.1362304688,15.0451660156,-11.6577148438,141095813390393,0
-0.265625,0.96875,-0.015625,8.6517333984,-9.2468261719,1.2283325195,1.9836425781,14.9230957031,-11.9323730469,141095913896018,0.100505625
-0.25,0.953125,0,9.0866088867,-9.6282958984,-4.264831543,1.9836425781,14.9230957031,-11.9323730469,141096014538414,0.100642396
-0.28125,0.953125,-0.078125,12.9318237305,-5.5160522461,-0.4043579102,2.0751953125,15.0451660156,-12.451171875,141096115255445,0.100717031
-0.421875,1.109375,-0.0625,7.2937011719,2.1209716797,4.8370361328,2.1362304688,14.892578125,-12.7258300781,141096215896486,0.100641041
-0.421875,1,-0.09375,3.7994384766,-0.0381469727,-0.7019042969,2.3803710938,14.7399902344,-13.6108398438,141096316244715,0.100348229
-0.375,0.9375,-0.0625,-2.7694702148,-4.8751831055,-9.7503662109,2.4108886719,14.8620605469,-12.939453125,141096416662788,0.100418073
-0.359375,0.875,-0.015625,-4.2343139648,-9.1705322266,0.5340576172,2.4108886719,14.8620605469,-12.939453125,141096517430809,0.100768021
-0.296875,0.828125,0.046875,12.7716064453,-46.1044311523,-2.7160644531,2.0446777344,14.7705078125,-12.9699707031,141096618472267,0.101041458
-0.234375,0.890625,-0.015625,46.2112426758,-97.541809082,-12.4130249023,2.2277832031,14.5263671875,-12.939453125,141096718967111,0.100494844
-0.40625,0.875,-0.09375,48.0422973633,-78.4759521484,3.0136108398,2.7160644531,13.18359375,-17.0288085938,141096819497111,0.10053
-0.578125,0.96875,0.078125,32.470703125,-33.561706543,5.5923461914,3.2958984375,12.3596191406,-17.3034667969,141096919820705,0.100323594
-0.46875,0.921875,0.0625,32.470703125,-33.561706543,5.5923461914,3.9978027344,11.71875,-19.7143554688,141097020253726,0.100433021
-0.359375,1.046875,0.1875,28.8696289063,-82.51953125,-12.6342773438,3.9978027344,11.71875,-19.7143554688,141097121438726,0.101185
-0.359375,0.875,0.15625,39.0930175781,-107.2158813477,-8.5754394531,4.9133300781,10.009765625,-21.1181640625,141097222154559,0.100715833
-0.4375,0.828125,0.046875,59.5016479492,-103.1341552734,-1.1749267578,5.8288574219,8.6059570313,-21.8811035156,141097322522267,0.100367708
-0.453125,0.90625,-0.15625,49.9801635742,-104.1717529297,-0.3356933594,6.8054199219,6.7749023438,-24.3225097656,141097423214663,0.100692396
-0.625,0.796875,-0.140625,21.858215332,-38.7878417969,-3.3645629883,7.6293945313,5.4321289063,-24.3530273438,141097523801538,0.100586875
-0.640625,0.8125,-0.171875,-6.0653686523,31.1737060547,-8.1481933594,7.9650878906,5.126953125,-24.4750976563,141097624147423,0.100345885
-0.734375,1,0.046875,-42.5338745117,86.9522094727,6.1187744141,7.8430175781,5.7373046875,-25.3295898438,141097724680861,0.100533438
-0.546875,0.859375,-0.0625,-39.3753051758,99.3576049805,10.6658935547,6.9885253906,7.0190429688,-23.5900878906,141097825985861,0.101305
-0.515625,0.75,0.03125,-48.469543457,85.9527587891,15.0527954102,6.0729980469,8.30078125,-23.4069824219,141097926929715,0.100943854
-0.421875,0.75,0.03125,-30.7769775391,55.9005737305,19.6151733398,5.2490234375,9.3994140625,-21.1791992188,141098027504454,0.100574739
-0.421875,0.953125,-0.078125,-7.2708129883,41.8243408203,3.059387207,4.9133300781,9.9792480469,-19.8974609375,141098127886746,0.100382292
-0.484375,0.90625,-0.015625,-13.5269165039,57.2814941406,22.8805541992,4.7302246094,10.4370117188,-19.7143554688,141098228167944,0.100281198
-0.5,1.125,0.21875,-12.1154785156,73.2116699219,34.3475341797,4.7912597656,10.8947753906,-19.8669433594,141098328518569,0.100350625
-0.265625,0.921875,0.03125,5.9967041016,47.9202270508,16.9372558594,4.7912597656,11.4135742188,-17.9748535156,141098429205027,0.100686458
-0.15625,1,0.078125,-7.453918457,30.4718017578,-0.1831054688,4.9133300781,11.5356445313,-18.2495117188,141098529804975,0.100599948
-0.1875,0.921875,0.078125,2.5253295898,12.3748779297,-15.7241821289,4.9133300781,11.9323730469,-16.2963867188,141098630954454,0.101149479
-0.140625,0.890625,0.015625,8.8348388672,7.080078125,-5.8517456055,4.8217773438,12.0849609375,-15.9606933594,141098731425235,0.100470781
-0.171875,0.9375,-0.03125,10.4217529297,6.0043334961,-4.6539306641,4.6997070313,12.3596191406,-16.9067382813,141098831885652,0.100460417
-0.203125,1.0625,-0.09375,10.4217529297,6.0043334961,-4.6539306641,4.39453125,12.6037597656,-16.5100097656,141098932500339,0.100614687
-0.265625,1.046875,-0.078125,5.9661865234,11.7721557617,-5.5618286133,4.1809082031,12.6953125,-16.4184570313,141099033264767,0.100764428
-0.28125,0.890625,-0.15625,5.3176879883,12.0239257813,-0.114440918,4.1198730469,13.2141113281,-14.0075683594,141099134652162,0.101387395
