"","x"
"1",-4.68448549973374
"2",-5.41945983716089
"3",-6.58628903843086
"4",-8.26880258149765
"5",-7.21325594268052
"6",-4.07083925074508
"7",-2.3293849261292
"8",-5.48317053979153
"9",-5.99885399528889
"10",-5.48243610172226
"11",-2.31095639721652
"12",-1.34247130022289
"13",-2.14264580804626
"14",-1.63946562441909
"15",-0.360447448335891
"16",-1.19847630406042
"17",-1.7059825054422
"18",-2.09382071849976
"19",-2.05059392170661
"20",-1.802483986614
"21",-1.7945157319132
"22",-2.64064718169392
"23",-2.98228782153361
"24",-2.13744574318298
"25",-1.77003035790897
"26",-4.5044641955253
"27",-7.79618653832913
"28",-10.3584276114212
"29",-8.49755272742627
"30",-5.4577417421438
"31",-0.921136607889374
"32",-0.382269202894258
"33",-0.130985383909645
"34",-0.938525620572319
"35",-1.0059791884397
"36",-1.11503009101672
"37",-2.10331860993846
"38",-2.26576118201555
"39",-2.44928189838998
"40",-3.0759997266488
"41",-3.74777032230039
"42",-4.10176025267167
"43",-2.93480495670106
"44",-1.34955199634776
"45",-0.285741797812088
"46",-0.486252216890099
"47",-0.509672034712306
"48",-0.966844728054781
"49",-1.33709426229778
"50",-0.922615665955237
"51",-1.29313920577397
"52",-2.77093423413178
"53",-3.55640419990402
"54",-4.80515569451467
"55",-6.4414317464098
"56",-6.97785969009742
"57",-6.6127553691823
"58",-4.31062904729431
"59",-3.15056453202284
"60",-2.83430096051077
"61",-3.08787473645417
"62",-5.56983495553778
"63",-6.04169878415452
"64",-5.70942234687388
"65",-2.60204311015554
"66",-1.04597907986737
"67",-1.39451205557205
"68",-0.694293030250869
"69",-0.841117119835212
"70",-2.23633156048121
"71",-2.23659067074074
"72",-2.00043988633091
"73",-2.10895901803592
"74",-1.73040731708805
"75",-1.66042855772293
"76",-1.71918103537343
"77",-0.848249269520436
"78",-1.79465649152599
"79",-3.92657319356467
"80",-5.53103413892337
"81",-6.97604031387323
"82",-8.52179146795871
"83",-9.72296053163713
"84",-6.19176008376237
"85",-2.26949540281742
"86",-2.32674911519542
"87",-2.81536829796933
"88",-2.8878502801093
"89",-2.48530820330693
"90",-1.41076677790453
"91",-0.658655271090222
"92",-0.57076869812526
"93",-1.25447295056317
"94",-1.85825807444389
"95",-2.43655870817741
"96",-2.67145083667688
"97",-1.80587094527911
"98",-0.680608344097553
"99",-0.320382427976776
"100",-0.366000676920158
"101",-0.431814365825367
"102",-1.04628075210967
"103",-0.526783344534873
"104",-1.65458974648492
"105",-3.53287250963212
"106",-3.92876097767372
"107",-4.12469789916778
"108",-6.6664362439571
"109",-7.74029299659119
"110",-7.11528716832622
"111",-5.23432402975254
"112",-3.15749392856044
"113",-1.4828260384142
"114",-2.48169122674877
"115",-3.18248734398983
"116",-4.02133376207437
"117",-4.52123200772766
"118",-4.07347635001189
"119",-3.11315459872838
"120",-1.29468875266793
"121",-1.52362443276154
"122",-1.97637497531729
"123",-1.03237676206763
"124",-1.43197267154629
"125",-1.96748623510227
"126",-1.5459400287264
"127",-0.929461435277281
"128",-0.296160907284499
"129",-0.33449903007134
"130",-1.62600752690247
"131",-2.05535838327732
"132",-1.87673365916752
"133",-3.08118346435253
"134",-8.05406645920594
"135",-15.0655547936166
"136",-14.648597723621
"137",-5.95577103890901
"138",-1.70795928675228
"139",-4.15018455819987
"140",-3.42405435833909
"141",-3.10246146440497
"142",-3.14460915703443
"143",-1.93856597057179
"144",-1.0349111448892
"145",-1.05906346421507
"146",-0.995222164096999
"147",-0.969608796270861
"148",-1.26749518433419
"149",-1.70229981095381
"150",-1.42507120695705
"151",-0.451815041533074
"152",-0.444302452355677
"153",-0.398892146575304
"154",-0.893048338465853
"155",-1.62981132267542
"156",-2.32567490047673
"157",-2.78083720680418
"158",-1.35702320191669
"159",-1.34707230652901
"160",-3.53773594803878
"161",-4.11071505237067
"162",-5.30613142459353
"163",-6.6262273108069
"164",-8.30685209386867
"165",-7.52048828724381
"166",-4.90449335009809
"167",-2.40120817681293
"168",-2.93265033720519
"169",-3.25046257817557
"170",-3.6168600314803
"171",-4.75862297656084
"172",-3.47059634920582
"173",-1.69897454418596
"174",-1.25990869019741
"175",-1.34185008690522
"176",-0.905391626767726
"177",-1.45409817284275
"178",-1.42648606806333
"179",-1.36699223677076
"180",-1.1149376690836
"181",-1.1504399571054
"182",-1.34025032241208
"183",-1.85420116250295
"184",-1.83664409824311
"185",-1.41385674757004
"186",-3.82061639016079
"187",-6.17605506916047
"188",-8.9860133146946
"189",-11.2895879258396
"190",-8.98510294205839
"191",-3.61535373362321
"192",-2.43438765797632
"193",-3.63095182554805
"194",-4.43481692441079
"195",-2.9855803821768
"196",-1.04673328930996
"197",-0.684422149936179
"198",-2.07913771020679
"199",-2.37647053406324
"200",-1.71021338797963
"201",-1.70245561543883
"202",-1.97217510831908
"203",-1.87387375538567
"204",-1.05692426369966
"205",-0.171005131049738
"206",-0.407543158244521
"207",-0.107976025524772
"208",-0.587511728873565
"209",-1.41143831800781
"210",-0.918265874831965
"211",-0.645945165680051
"212",-2.88965787486502
"213",-3.89632894568969
"214",-4.17353327525343
"215",-4.98545582968881
"216",-5.96905495386053
"217",-6.59469320423287
"218",-4.35778820996687
"219",-2.80219697517796
"220",-3.06266399925734
"221",-3.11035531946869
"222",-2.98399225753976
"223",-3.31609812704838
"224",-3.88227973530756
"225",-2.99631009793973
"226",-1.53749930379379
"227",-0.797375353134822
"228",-0.233001282409159
"229",-1.04399787786189
"230",-1.72022554350859
"231",-1.46141772711118
"232",-1.4826277448898
"233",-1.8899742938986
"234",-1.83218611983345
"235",-1.67668192290893
"236",-1.78401598780204
"237",-2.24392564076344
"238",-1.39027133716412
"239",-0.980042518367206
"240",-3.61302967955266
"241",-6.34790342994164
"242",-10.2098300218584
"243",-11.8709113342707
"244",-7.73127002978665
"245",-1.7501794296949
"246",-2.94567012394368
"247",-2.90345583732827
"248",-3.14312247743841
"249",-2.86213191715222
"250",-2.09583314878507
"251",-0.913867293673535
"252",-1.07569073474751
"253",-1.97735977181605
"254",-2.06357943760863
"255",-2.42005069217315
"256",-2.82775450921878
"257",-2.43442765957844
"258",-1.17270738167177
"259",-0.324108314166101
"260",-0.378342413139922
"261",-0.643442815992199
"262",-1.38634285468225
"263",-0.996155222783103
"264",-0.435653584293063
"265",-1.89984528584157
"266",-2.83741516129887
"267",-3.26866971758639
"268",-3.97562902591758
"269",-5.42926282394903
"270",-6.95535499548606
"271",-6.34361023940283
"272",-4.96757468661392
"273",-2.83202885633554
"274",-1.74556982125697
"275",-1.53747158334525
"276",-2.25149973992066
"277",-3.40787274582809
"278",-4.15136401761351
"279",-3.43199252340864
"280",-1.88083867967854
"281",-0.303912239860196
"282",-1.05675243311654
"283",-0.999357041565114
"284",-0.491489038782041
"285",-1.05708747449253
"286",-1.3850084787988
"287",-1.43745408422922
"288",-1.44990956543914
"289",-1.53578748866741
"290",-2.03343099516882
"291",-0.790557739575988
"292",-1.17896500750167
"293",-4.12791306516584
"294",-7.38340478170781
"295",-11.3500839097817
"296",-10.6184649204712
"297",-6.05305317740217
"298",-0.533249725368612
"299",-1.70199670890548
"300",-1.72949699349704
"301",-0.534553390824746
"302",-0.844269342346295
"303",-1.14857646707153
"304",-0.2767920986677
"305",-0.993980476298803
"306",-1.92124081523861
"307",-2.80611203446003
"308",-3.79794488605203
"309",-5.10308494455992
"310",-5.9070581479516
"311",-4.30480194074104
"312",-1.70297987793065
"313",-0.567218152792394
"314",-0.40942499157248
"315",-1.10596613454047
"316",-1.74985473468057
"317",-1.26663424466789
"318",-0.572611962093642
"319",-1.65663527658114
"320",-2.6177929770793
"321",-3.65084026015743
"322",-4.60374093764418
"323",-5.43723652167089
"324",-7.57536616679897
"325",-7.46696241016964
"326",-5.44186879788165
"327",-2.34924561305498
"328",-2.35369111004332
"329",-2.07485678111969
"330",-1.79719655212601
"331",-1.802255265897
"332",-1.58563714782302
"333",-1.5844688683143
"334",-1.73327920523915
"335",-1.18694055737238
"336",-1.70219171210673
"337",-2.47017849957023
"338",-2.08713656482809
"339",-1.25876436784484
"340",-0.339090652660554
"341",-0.167838061490519
"342",-0.879751232545174
"343",-2.23107644328722
"344",-2.97785167965529
"345",-2.02419012432066
"346",-1.68405460673041
"347",-3.91389596418694
"348",-8.04045175533431
"349",-7.68734446925608
"350",-5.03013748086143
"351",-0.815868931290782
"352",-1.40130555262357
"353",-1.10592302562686
"354",-0.660604551623419
"355",-0.84178983536641
"356",-0.947607438009314
"357",-0.68471101337003
"358",-0.837046937633549
"359",-1.10454200635257
"360",-1.78913794941738
"361",-2.91564303336729
"362",-4.15984929440916
"363",-4.91749158833136
"364",-5.14325783298053
"365",-3.64255054549152
"366",-1.77991955607307
"367",-1.0425942082688
"368",-0.142246397441655
"369",-1.63986761552085
"370",-1.87642595101783
"371",-1.92414751745565
"372",-2.63524398613386
"373",-3.75109749931746
"374",-4.84373877711941
"375",-7.90216766852326
"376",-8.4641574488122
"377",-6.92484621723004
"378",-4.45248375765567
"379",-4.85834895436839
"380",-5.46136912733874
"381",-4.04021508526207
"382",-3.3683498224868
"383",-0.95821694650917
"384",-1.04904301966394
"385",-0.944100941775529
"386",-1.61017574145379
"387",-2.55433202793355
"388",-2.9359777193071
"389",-2.00310350075797
"390",-1.01206280949321
"391",-0.670737404192516
"392",-0.99106491906733
"393",-1.77179266167076
"394",-2.33500581932672
"395",-1.72097069759601
"396",-2.84961419971706
"397",-4.65734407968694
"398",-6.57804945715502
"399",-8.87358657296533
"400",-8.8622108619207
"401",-5.47482331941955
"402",-1.63503914813237
"403",-2.36660225384847
"404",-2.6745367900045
"405",-2.0612341106172
"406",-0.827237515408725
"407",-0.740358539442372
"408",-1.2286758585358
"409",-1.27142620044229
"410",-0.777768330643078
"411",-0.966234583592039
"412",-1.96244909042772
"413",-3.70288457067628
"414",-5.57984711172686
"415",-6.62847064301027
"416",-5.12845590443406
"417",-2.61799633333048
"418",-0.785817896189767
"419",-0.114304128805804
"420",-0.539671517600046
"421",-1.1502103576401
"422",-1.77716255378736
"423",-2.76086521333414
"424",-4.44794155883776
"425",-6.00448451254316
"426",-7.02019405471577
"427",-9.13978867741928
"428",-10.2830065613788
"429",-7.83973428469848
"430",-3.36610496633225
"431",-3.95079006931358
"432",-4.90772476298317
"433",-4.40204846543485
"434",-2.66934449604333
"435",-0.437188356706451
"436",-1.0910382265353
"437",-0.295421943611497
"438",-0.658017771029426
"439",-1.24396734928942
"440",-1.36959114173156
"441",-1.84224494671571
"442",-2.15216193576064
"443",-2.02918069841182
"444",-1.56992422855142
"445",-1.339842912635
"446",-1.89513374796914
"447",-1.24488453768375
"448",-1.24481127712856
"449",-3.71140843495136
"450",-6.35667711118781
"451",-9.29705997603956
"452",-10.0564352841351
"453",-7.10543167709005
"454",-2.7687152626365
"455",-2.11204596557814
"456",-2.73620281681057
"457",-2.87194436732522
"458",-1.48650663048595
"459",-0.543819677049269
"460",-0.702419017461368
"461",-1.4015337973478
"462",-1.97737807834675
"463",-1.98847345833643
"464",-1.97793087773329
