Acc0,Acc1,Acc2,Gyr0,Gyr1,Gyr2,Mag0,Mag1,Mag2,Timestamp,dt
-0.234375,0.984375,-0.015625,6.12640380859375,-3.25775146484375,0.05340576171875,11.41357421875,-1.0986328125,-18.98193359375,141504678110653,0.0
-0.1875,0.875,-0.03125,9.40704345703125,-9.368896484375,-6.4544677734375,11.23046875,-0.885009765625,-19.4091796875,141504779003674,0.100893021
-0.21875,0.84375,-0.03125,11.07025146484375,0.63323974609375,8.758544921875,11.23046875,-1.129150390625,-19.04296875,141504879780601,0.100776927
-0.203125,0.921875,-0.0625,3.2501220703125,-1.83868408203125,13.5345458984375,11.3525390625,-1.15966796875,-18.829345703125,141504981848258,0.102067657
-0.25,1.21875,-0.109375,4.608154296875,5.07354736328125,-4.78363037109375,11.71875,-1.312255859375,-19.1650390625,141505082608622,0.100760364
-0.3125,1.0625,-0.125,-5.523681640625,9.05609130859375,1.068115234375,11.932373046875,-1.495361328125,-19.47021484375,141505182880810,0.100272188
-0.359375,1.0625,-0.109375,-23.0865478515625,66.7724609375,10.162353515625,11.77978515625,-1.312255859375,-19.10400390625,141505283196434,0.100315624
-0.265625,0.765625,-0.078125,-23.0865478515625,66.7724609375,10.162353515625,11.71875,-1.251220703125,-18.890380859375,141505383493934,0.1002975
-0.34375,0.78125,0.046875,-34.85870361328125,119.1253662109375,10.6964111328125,11.5966796875,-1.15966796875,-18.37158203125,141505483802684,0.10030875
-0.125,0.890625,0.03125,-27.04620361328125,97.52655029296875,6.8817138671875,11.566162109375,-1.03759765625,-16.66259765625,141505584204091,0.100401407
-0.15625,1.1875,0.140625,-5.27191162109375,39.16168212890625,8.9263916015625,11.65771484375,-1.03759765625,-14.801025390625,141505685200497,0.100996406
-0.21875,0.953125,0.0625,9.81903076171875,-19.5770263671875,6.34002685546875,11.932373046875,-1.40380859375,-14.434814453125,141505785885132,0.100684635
-0.203125,1.078125,0.078125,22.33123779296875,-43.7164306640625,-3.82232666015625,11.932373046875,-1.52587890625,-14.892578125,141505887063934,0.101178802
-0.125,0.78125,0.09375,31.01348876953125,-69.8394775390625,-5.8135986328125,11.962890625,-1.312255859375,-15.07568359375,141505988068309,0.101004375
-0.109375,0.78125,0.03125,33.538818359375,-84.02252197265625,1.24359130859375,11.962890625,-1.129150390625,-15.80810546875,141506089032215,0.100963906
-0.203125,0.90625,-0.046875,32.196044921875,-87.04376220703125,4.46319580078125,11.749267578125,-1.15966796875,-16.90673828125,141506189886434,0.100854219
